start_time,V0_LAT,V1_LAT,V2_LAT,V3_LAT,V0_LON,V1_LON,V2_LON,V3_LON,Na/Si,Al/Si,Mg/Si,Ca/Si,Na/Si_uncer,Al/Si_uncer,Mg/Si_uncer,Ca/Si_uncer
20211116T234051,-26.161,-31.8713,-31.8837,-26.1728,66.2081,66.0984,67.0452,67.1029,1.2805485440967743,0.7625246611354446,0.9722934273021235,0.0,8.666700821048302e-05,9.347581134637815e-05,0.00010768173333912626,-1.0
20211116T234227,-21.2535,-26.9641,-26.976,-21.2648,66.2872,66.1917,67.0928,67.1484,0.0,0.8813426248672472,1.2634518296140549,0.6961662100917637,-1.0,0.0003707073072149724,0.00021002971653817415,0.001261471635538489
20211116T234403,-16.3455,-22.0561,-22.0674,-16.3565,66.3569,66.2726,67.1386,67.1933,0.0,1.0808815142902861,1.2876699497568727,0.0,-1.0,0.0006897619032063581,0.00020154121711030495,-1.0
20211116T234539,-11.4375,-17.148,-17.1591,-11.4483,66.4194,66.3436,67.1835,67.2385,2.6750046865545607,1.7282134118138064,1.7282134118138064,0.8444313004061729,0.0039450659628277995,0.002318522973096836,0.0021459319614765123,0.0006774155708646706
20211116T234715,-6.5295,-12.2403,-12.2511,-6.5401,66.4761,66.4071,67.2286,67.2849,0.0,0.9680147344269455,0.9680147344269455,0.5078590695572776,-1.0,0.013479906527518855,0.03127592525072613,0.008341128143097227
20211116T234851,-1.6218,-7.333,-7.3437,-1.6324,66.5283,66.4647,67.2748,67.3333,0.0,0.0,1.1855833561539144,0.4494720823474756,-1.0,-1.0,0.0007268587154752952,0.002383642780685008
20211116T235027,3.2852,-2.4265,-2.4371,3.2746,66.577,66.5175,67.323,67.3846,2.1741477775630837,0.7952274197552603,1.2310214481672914,0.43236456865544826,0.0009743096397345142,8.008503765579573e-06,0.00041461454376672544,0.0014262207638022304
20211116T235203,8.1914,2.4789,2.4683,8.1807,66.6233,66.5667,67.3737,67.4398,1.4843495947128538,0.0,1.0869273364626972,1.0447378214500158,0.0008405478126321083,-1.0,0.00021023974698229324,0.002372676040933633
20211116T235339,13.0963,7.3832,7.3725,13.0854,66.6677,66.6133,67.4283,67.4999,0.0,1.3305205682515195,1.3187937336329076,0.0,-1.0,0.0005042503093911232,0.0003958028442439461,-1.0
20211116T235515,17.9999,12.2857,12.2748,17.9887,66.711,66.6578,67.4874,67.5662,0.0,0.0,1.3549514864126202,0.0,-1.0,-1.0,0.00013807360344152825,-1.0
20211116T235651,22.9019,17.1866,17.1754,22.8903,66.7541,66.7012,67.5525,67.6403,5.5711519613509,5.5711519613509,5.5711519613509,0.6066979682808932,1.0659404973701516e-06,0.0005446108929549746,0.00025953756964915305,8.749755178487241e-05
20211116T235827,22.9019,17.1866,17.1754,22.8903,66.7541,66.7012,67.5525,67.6403,5.5711519613509,5.5711519613509,5.5711519613509,0.6066979682808932,1.0659404973701516e-06,0.0005446108929549746,0.00025953756964915305,8.749755178487241e-05
20211117T000003,32.6997,26.9821,26.9701,32.6869,66.8432,66.7876,67.7074,67.8216,0.0,1.0149681532685255,1.022269565171424,0.4993785383463232,-1.0,0.00031012380330512894,0.00018523029149665902,0.000990124203824465
20211117T000139,37.595,31.8762,31.8636,37.5814,66.8915,66.8326,67.8022,67.9356,0.0,0.0,1.1464932243858215,0.0,-1.0,-1.0,0.0011642007301348807,-1.0
20211117T000315,42.4876,36.7676,36.7541,42.4727,66.9444,66.8802,67.9129,68.0718,0.0,1.0,1.0351697813049174,0.5184645647333677,-1.0,0.011745820287972235,0.0016519614832384332,0.0033400839432368183
20211117T000451,47.3778,41.656,41.6414,47.3617,67.0042,66.9319,68.0447,68.2383,0.6554257832347665,0.46052236984649886,0.6554257832347665,0.19013889995383684,0.05498841976766517,0.12852561463431655,0.08072517332902228,0.08627956782963654
20211117T000627,52.2648,46.5419,46.5261,52.2469,67.0741,66.9904,68.2054,68.4468,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
20211117T000803,57.149,51.4244,51.4068,57.1287,67.1587,67.058,68.4054,68.7158,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
20211117T000939,62.0299,56.304,56.2841,62.0063,67.2669,67.1395,68.662,69.0778,0.0,0.47897169082335533,0.0,0.21817480071582057,-1.0,0.021962476637643637,-1.0,0.010370070239446229
20211117T001115,66.9075,61.18,61.1571,66.8791,67.4135,67.2425,69.0044,69.5906,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
20211117T001251,71.7818,66.0528,66.0253,71.746,67.6305,67.3802,69.4842,70.3759,1.4610990126336365,1.1067057432376943,1.4610990126336365,1.0668705751189476,0.0042967476963248164,0.0030691410485405926,0.05521997530555535,0.019797338813224995
20211117T001427,76.6526,70.9221,70.8879,76.6039,67.9954,67.5808,70.2072,71.7293,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
20211117T001603,81.5189,75.788,75.7423,81.4426,68.7628,67.9088,71.4211,74.6131,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
20211117T001739,86.3768,80.6498,80.5804,86.2011,71.554,68.5627,73.8808,84.8227,0.32026413124713476,1.0,0.33967618499801483,1.0,0.2243908210527605,2.0671190270761475,0.44665415226270744,0.8364298518444195
20211117T001915,89.6926,85.5049,85.362,89.6916,150.726,-156.733,-127.023,163.516,1.0,1.0,1.0,0.002982816646584031,703.168134748359,691.4962608915504,697.5938990275064,0.8314681347016049
20211117T002051,88.758,83.7748,83.8817,89.5181,174.147,-148.884,-123.75,-116.901,1.0495377209011472,0.0,1.0495377209011472,0.715003250517848,0.03515278881920305,-1.0,0.01599730297247242,0.031024245234235626
20211117T002227,84.6398,78.9685,79.0291,84.7643,-120.32,-123.638,-115.957,-115.071,1.9772824298486213,0.0,0.9721238337645056,0.5284563138087663,0.011370565320244396,-1.0,0.0017899616724645381,0.00044544872875500825
20211117T002403,79.8512,74.135,74.1775,79.917,-118.002,-119.282,-114.796,-114.454,0.8362049818408058,0.0,0.8362049818408058,0.5533168928505027,0.006663471807615208,-1.0,0.00885797557286188,0.005602458000811574
20211117T002539,75.0249,69.2948,69.3278,75.0699,-116.837,-117.51,-114.322,-114.139,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
20211117T002715,70.1899,64.4533,64.4805,70.2243,-116.137,-116.551,-114.06,-113.945,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
20211117T002851,65.3528,59.6123,59.6355,65.3809,-115.67,-115.949,-113.89,-113.811,2.1790411494381834,0.0,0.0,0.8873962314730143,0.004410152054585026,-1.0,-1.0,0.001854293887572125
20211117T003027,60.5155,59.2962,59.3193,60.5394,-115.638,-115.543,-113.772,-113.801,3.0577047942970244,0.0,1.583823643609628,0.0,0.00770205401046819,-1.0,0.0017826242107264886,-1.0
20211117T011020,-60.1659,-65.8985,-65.8712,-60.1434,-113.235,-113.323,-111.508,-111.22,0.0,1.0,0.0,0.0,-1.0,0.011877023771177704,-1.0,-1.0
20211117T011156,-65.0352,-70.7655,-70.7319,-65.0088,-113.048,-113.177,-111.032,-110.6,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
20211117T011332,-69.9076,-75.6354,-75.591,-69.8754,-112.754,-112.963,-110.31,-109.593,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
20211117T011508,-74.7829,-80.5078,-80.4416,-74.741,-112.203,-112.607,-109.085,-107.678,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
20211117T011644,-79.6609,-85.3797,-85.2464,-79.6,-110.757,-111.884,-106.557,-102.645,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
20211117T011820,-84.5393,-89.3697,-89.6502,-84.4259,-63.8459,-109.517,-98.408,-30.5107,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
20211117T011956,-84.7151,-89.6406,-89.578,-84.8333,53.4822,-84.145,16.2338,62.5371,0.0,1.0,0.0,0.0,-1.0,0.010662769861383675,-1.0,-1.0
20211117T012132,-79.8893,-85.5234,-85.6636,-79.9505,59.5725,51.1458,61.8402,64.2891,0.0,1.0,0.0,0.8960779518849291,-1.0,0.007178343682172609,-1.0,0.0015533877768261724
20211117T012308,-75.0201,-80.711,-80.7775,-75.0613,61.7189,58.9867,64.117,64.904,0.0,0.8731449280674697,0.0,0.8563635956050657,-1.0,0.00022381171677057792,-1.0,0.004276664513241888
20211117T012444,-70.1372,-75.8406,-75.8842,-70.1684,62.8118,61.4601,64.8257,65.2222,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
20211117T012620,-65.2471,-70.9546,-70.9871,-65.2723,63.4736,62.6665,65.1763,65.4201,0.0,0.8813096127243881,0.0,0.0,-1.0,0.0007373359552351558,-1.0,-1.0
20211117T012756,-60.3521,-66.0612,-66.0872,-60.3733,63.9173,63.3805,65.3891,65.5576,0.0,1.0,0.0,0.0,-1.0,0.007819636671751805,-1.0,-1.0
20211117T012932,-55.4535,-61.1629,-61.1847,-55.4719,64.2358,63.8523,65.5346,65.6609,0.0,0.8963909192996684,0.0,0.0,-1.0,0.0007187300181046757,-1.0,-1.0
20211117T013108,-50.5518,-56.2613,-56.28,-50.5682,64.4756,64.1877,65.6428,65.7431,0.0,1.0,0.0,1.0894933082061893,-1.0,0.010724391434528666,-1.0,0.004178398850554415
20211117T013244,-45.6479,-51.3568,-51.3735,-45.6627,64.6628,64.4384,65.728,65.8113,0.0,1.0,0.0,0.0,-1.0,0.009544924537175772,-1.0,-1.0
20211117T013420,-40.7413,-46.4506,-46.4656,-40.755,64.8131,64.6329,65.7982,65.8702,0.0,0.9042428902790982,0.0,0.0,-1.0,0.0005626824332370912,-1.0,-1.0
20211117T013556,-35.8333,-41.5421,-41.5558,-35.846,64.937,64.7884,65.8585,65.9229,1.107070668786785,0.6704784535226009,1.107070668786785,0.47694820535835286,0.053298124652393156,0.003081264231910541,0.0016679564895173585,0.006946700600444236
20211117T013732,-30.9238,-36.6324,-36.6453,-30.9358,65.0408,64.9161,65.9121,65.9713,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
20211117T013908,-26.0137,-31.7219,-31.734,-26.0251,65.1296,65.0228,65.9611,66.0169,0.0,1.0,0.0,0.0,-1.0,0.012785952535339016,-1.0,-1.0
20211117T014044,-21.1024,-26.811,-26.8226,-21.1134,65.2066,65.1137,66.0072,66.0611,1.2474445342686937,1.0396480729994606,1.2474445342686937,0.0,0.0044994440806948215,9.309797395118871e-05,0.0010920154723941327,-1.0
20211117T014220,-16.1908,-21.8995,-21.9106,-16.2015,65.2745,65.1924,66.0516,66.1048,3.240750395586567,1.3553065295486686,3.240750395586567,1.1285248946561228,0.01331282567326506,0.0006025512043021104,0.005795601723470553,0.003987097738520784
20211117T014356,-11.2794,-16.9881,-16.9989,-11.2899,65.3352,65.2616,66.0954,66.1489,1.4812890797869824,1.2010781438722884,1.4812890797869824,0.0,0.008346622149539589,0.0007973763459381204,0.0008070609290102939,-1.0
20211117T014532,-6.3682,-12.0774,-12.0879,-6.3786,65.3902,65.3233,66.1393,66.1943,1.8490048496487186,0.9258318744882631,1.1703153894420986,0.0,0.0020522112771300845,0.0004428654470235894,0.00031369501611667593,-1.0
20211117T014708,-1.4575,-7.1673,-7.1777,-1.4678,65.4408,65.3791,66.1845,66.2418,1.3735653582950094,1.1593477245035995,1.1756955500467432,0.5820308766309036,0.0001725102856725081,3.734563241856188e-05,2.0479801010772544e-05,0.00013815818732727269
20211117T014844,3.4523,-2.2582,-2.2685,3.442,65.488,65.4303,66.2316,66.2921,0.0,1.2435689822474898,1.3194187843654546,0.613538904665593,-1.0,0.0008541928461835267,6.811611915410966e-05,0.0024074004645546912
20211117T015020,8.3608,2.6496,2.6393,8.3504,65.5325,65.4779,66.2815,66.3463,4.372911493823666,1.0358344445301597,1.073843820380939,0.8746202775323095,0.008260915101929802,0.0008249423259060974,0.0005388507654987872,0.0012870457814589933
20211117T015156,13.268,7.5557,7.5453,13.2573,65.5753,65.5228,66.335,66.4054,3.8402456302598478,2.034806417989328,1.6759605677386291,0.5162577342061354,0.00404074766153966,0.0009110500514126845,0.0001880258799903779,0.00050711740848286
20211117T015332,18.1734,12.46,12.4493,18.1624,65.6169,65.5657,66.3932,66.4707,1.0,0.2348196295513195,1.0,0.0,0.11123328116068582,0.0057822303360141715,0.059044936951442424,-1.0
20211117T015508,23.0768,17.3621,17.3512,23.0655,65.6581,65.6074,66.4573,66.5437,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
20211117T015644,27.9779,22.262,22.2507,27.966,65.6998,65.6484,66.5288,66.6268,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
20211117T015820,32.8765,27.1592,27.1474,32.8641,65.743,65.6899,66.61,66.7228,0.0,1.2856028070459464,1.384861790372565,0.490140824509415,-1.0,0.00021648294135211013,0.0002672729779278183,0.0014804604757436815
20211117T015956,37.7724,32.0536,32.0413,37.759,65.789,65.7328,66.7036,66.8356,0.5135297994763667,1.0,1.0,0.08558963576557418,0.0024744952947616415,0.011033476887054123,0.024083917598050113,0.004227543955091377
20211117T020132,42.6652,36.945,36.9318,42.6507,65.8393,65.7781,66.8131,66.9706,1.0,1.0,1.0,0.06148743055358149,0.09573250180615059,0.13263527553640347,0.013331033113051177,0.019545038845339115
20211117T020308,47.5552,41.8332,41.8189,47.5394,65.8961,65.8273,66.9438,67.1359,1.0,1.0,1.0,0.05954733709560682,0.15284123790372106,0.07483748451033777,0.11558832428759858,0.010721323608981342
20211117T020444,52.4416,46.7183,46.7027,52.424,65.9623,65.8827,67.1031,67.3431,3.416886838887011,3.416886838887011,3.416886838887011,0.5979560854849938,0.0033404436369334416,0.01192674273275565,0.003950835952178161,0.0031174943164923173
20211117T020620,57.3249,51.5997,51.5824,57.3049,66.0425,65.9468,67.3018,67.6109,2.203462121514682,0.0,2.203462121514682,1.372103345012181,0.004872584192898882,-1.0,0.005224083352823636,0.0027430597479184246
20211117T020756,62.2046,56.4778,56.4583,62.1813,66.1452,66.024,67.5572,67.9719,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
20211117T020932,67.0808,61.3522,61.3296,67.0528,66.2844,66.1217,67.8985,68.4848,1.0,1.0,1.0,1.0,0.782647516962934,0.5142854892754769,0.6544835889417943,0.8124819346053366
20211117T021108,71.9532,66.2231,66.1961,71.9179,66.4907,66.2525,68.378,69.2723,3.564453416161444,0.0,3.564453416161444,0.5617531844008766,0.00385689948742977,-1.0,0.0069940574294035055,0.0011695098360402585
20211117T021244,76.822,71.0902,71.0564,76.7737,66.8397,66.4429,69.1022,70.6375,3.5600905350400485,0.0,3.5600905350400485,1.0455039157248207,0.0018182471233876695,-1.0,0.011585128932324893,0.0005280070366392451
20211117T021420,81.6863,75.9537,75.9083,81.6098,67.5814,66.756,70.3245,73.5771,1.1198369242712494,0.0,1.1198369242712494,0.4724111660139995,0.013277224546702207,-1.0,0.01015957024811884,0.0011280991548490624
20211117T021556,86.5419,80.8129,80.7436,86.3615,70.3711,67.3859,72.8235,84.3106,2.643728087363153,0.0,2.226556504220322,1.1173903441476216,0.005534672753852223,-1.0,0.0028062982642565967,0.0020328537829192757
20211117T021732,89.6881,85.6653,85.52,89.6469,179.138,-154.025,-177.107,165.239,0.6156743859319673,0.0,0.16060062395963753,0.37457224688421603,0.007177691798910777,-1.0,0.011357204483101728,0.04140086061748718
20211117T021908,88.7162,83.622,83.7245,89.3988,179.923,-147.17,-123.326,-117.653,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
20211117T022044,84.4934,78.8161,78.8748,84.6124,-121.222,-124.367,-116.815,-116.018,1.0,1.0,1.0,0.1845617480322376,0.464196847695334,0.2785569091913045,0.37553920890305087,0.10128783415735486
20211117T022220,79.7044,73.9849,74.0263,79.7681,-118.991,-120.222,-115.768,-115.455,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
20211117T022356,74.8805,69.1478,69.18,74.9243,-117.862,-118.513,-115.333,-115.166,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
20211117T022532,70.0487,64.3098,64.3364,70.0823,-117.181,-117.582,-115.092,-114.986,7.38558993480026,7.38558993480026,7.38558993480026,0.3852493798819403,0.012067717420837343,0.002384509488571838,0.005165644928227132,0.0011002895559143852
