Point,X,Y,Na/Si,Na/Si_uncer,Al/Si,Al/Si_uncer,Mg/Si,Mg/Si_uncer,Ca/Si,Ca/Si_uncer,Polygon ID
V3,-4957018.741,-2401770.0676,,,0.0,-1.0,,,,,50
V0,3474964.9889,2607274.4458,,,0.0,-1.0,,,,,51
V1,3322195.9495,2437569.8151,,,0.0,-1.0,,,,,51
V2,3583067.7332,2439455.9275,,,0.0,-1.0,,,,,51
V3,3635375.5127,2611841.1423,,,0.0,-1.0,,,,,51
V0,3246903.0703,2604951.6771,,,0.0,-1.0,,,,,52
V1,3077456.1882,2435968.7422,,,0.0,-1.0,,,,,52
V2,3335871.7805,2438230.8641,,,0.0,-1.0,,,,,52
V3,3407434.8875,2610370.4598,,,0.0,-1.0,,,,,52
V0,-4775139.2852,2575271.1817,,,0.0,-1.0,,,,,53
V1,-4832905.2677,2402328.0172,,,0.0,-1.0,,,,,53
V2,-4622794.7726,2402822.2878,,,0.0,-1.0,,,,,53
V3,-4582404.0699,2576317.3373,,,0.0,-1.0,,,,,53
V0,1656928.514,-2403043.6483,,,1.0,0.0156687050984499,,,,,54
V1,1412125.0737,-2573015.1245,,,1.0,0.0156687050984499,,,,,54
V2,1678339.8318,-2577587.8857,,,1.0,0.0156687050984499,,,,,54
V3,1785581.3929,-2405226.9295,,,1.0,0.0156687050984499,,,,,54
V0,3422384.2993,-2390116.804,,,3.029757977899605,0.0123911466507342,,,,,55
V1,3208695.6488,-2561010.11,,,3.029757977899605,0.0123911466507342,,,,,55
V2,3471841.6838,-2565237.1851,,,3.029757977899605,0.0123911466507342,,,,,55
V3,3552805.0294,-2392190.9212,,,3.029757977899605,0.0123911466507342,,,,,55
V0,-5039983.4278,2578430.8748,,,0.0,-1.0,,,,,56
V1,-5084952.9565,2405706.0385,,,0.0,-1.0,,,,,56
V2,-4897433.3574,2405851.5906,,,0.0,-1.0,,,,,56
V3,-4833693.6748,2578743.2054,,,0.0,-1.0,,,,,56
V0,-3314190.5849,-2372541.3901,,,0.0,-1.0,,,,,57
V1,-3539614.372,-2543334.6291,,,0.0,-1.0,,,,,57
V2,-3285807.9289,-2548607.8597,,,0.0,-1.0,,,,,57
V3,-3181859.4837,-2375255.33,,,0.0,-1.0,,,,,57
V0,-1524867.2906,-2362313.324,,,0.0,-1.0,,,,,58
V1,-1637494.2788,-2535656.7567,,,0.0,-1.0,,,,,58
V2,-1392302.6995,-2537467.0608,,,0.0,-1.0,,,,,58
V3,-1389597.8567,-2363268.5096,,,0.0,-1.0,,,,,58
V0,-3080063.9963,-2364687.6424,,,0.6516178658487718,0.0044435696237586,,,,,59
V1,-3292266.8026,-2535750.7591,,,0.6516178658487718,0.0044435696237586,,,,,59
V2,-3046132.1672,-2540848.1143,,,0.6516178658487718,0.0044435696237586,,,,,59
V3,-2949267.2566,-2367362.1619,,,0.6516178658487718,0.0044435696237586,,,,,59
V0,4804340.6716,-2391199.3476,,,0.0,-1.0,,,,,60
V1,4708579.531,-2563739.2116,,,0.0,-1.0,,,,,60
V2,4934336.8749,-2564573.1037,,,0.0,-1.0,,,,,60
V3,4953501.2324,-2391605.6805,,,0.0,-1.0,,,,,60
V0,-1573442.2656,2569685.6206,,,1.0,0.0105115552847101,,,,,61
