start_time,V0_LAT,V1_LAT,V2_LAT,V3_LAT,V0_LON,V1_LON,V2_LON,V3_LON,Al/Si,Mg/Si,Ca/Si,Al/Si_uncer,Mg/Si_uncer,Ca/Si_uncer
20200112T181602,14.1548,8.4323,8.4271,14.1495,-44.6064,-44.6206,-43.7931,-43.7715,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T181738,19.0516,13.3449,13.3396,19.0462,-44.5943,-44.6108,-43.7781,-43.7456,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T181914,23.9558,18.2491,18.2437,23.9503,-44.5833,-44.5983,-43.753,-43.7133,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T182050,28.8635,23.1605,23.155,28.8577,-44.5737,-44.587,-43.7217,-43.6738,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T182226,33.7759,28.0751,28.0693,33.7698,-44.5651,-44.5772,-43.6834,-43.625,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T182402,38.6927,32.9942,32.9881,38.6862,-44.5576,-44.5685,-43.6361,-43.5645,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T182538,43.6131,37.9172,37.9108,43.6062,-44.5506,-44.5608,-43.5776,-43.4881,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T182714,48.5374,42.8435,42.8367,48.5299,-44.5445,-44.5538,-43.5039,-43.3908,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T182850,53.4652,47.7731,47.7657,53.4569,-44.5387,-44.5476,-43.4101,-43.2638,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T183026,58.3962,52.7058,52.6976,58.3868,-44.5335,-44.5418,-43.2882,-43.0935,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T183202,63.3303,57.6411,57.6319,63.3193,-44.5286,-44.5365,-43.1255,-42.8558,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T183338,68.2667,62.5789,62.5683,68.2536,-44.5236,-44.5317,-42.9,-42.5047,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T183514,73.2052,67.5186,67.5058,73.1884,-44.5184,-44.5269,-42.5703,-41.9406,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T183650,78.1456,72.4595,72.4435,78.1221,-44.5115,-44.5217,-42.0483,-40.8976,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T183826,83.0875,77.402,77.3798,83.0474,-44.4986,-44.5156,-41.1088,-38.3569,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T184002,88.0302,82.3452,82.3089,87.8942,-44.4344,-44.5052,-38.9479,-23.8169,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T184138,89.6776,86.9352,87.0269,89.9104,113.226,-44.4668,-29.1623,135.403,1.0,1.9875476680312136,0.0,0.014863477169856804,0.008336057200345207,-1.0
20200112T184314,87.6476,82.0488,82.0838,87.7686,129.182,123.079,135.438,135.462,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T184450,82.7875,77.1195,77.1413,82.8262,131.813,130.357,135.467,135.475,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T184626,77.8618,72.1834,72.1993,77.8849,132.88,132.242,135.478,135.482,1.0,0.0,0.0,0.013114956077884484,-1.0,-1.0
20200112T184802,72.9284,67.2459,67.2585,72.945,133.454,133.1,135.485,135.488,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T184938,67.9938,62.3088,62.3193,68.0069,133.81,133.588,135.49,135.493,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T185114,63.0601,57.3729,57.3821,63.0709,134.051,133.9,135.496,135.499,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T185250,58.1282,56.8572,56.8662,58.1376,134.084,134.116,135.502,135.5,1.008802252548906,1.3059916645308578,0.0,0.0031826592677244837,0.006356217479363693,-1.0
20200112T193533,-72.1038,-77.849,-77.8201,-72.084,134.693,134.583,137.875,138.538,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T193709,-76.9342,-82.6801,-82.6323,-76.9072,134.603,134.353,139.057,140.521,1.0,2.4280004229772816,0.0,0.013993444480202184,0.0024561363342353233,-1.0
