V0_LAT,V1_LAT,V2_LAT,V3_LAT,V0_LON,V1_LON,V2_LON,V3_LON,Ca/Si,Ca/Si_uncer,polygon_area
83.2977,77.7029,78.041,83.6315,-70.2518,-69.7572,-66.3399,-63.8325,0.0,-1.0,27.168230415000025
-76.8579,-82.5663,-82.5666,-77.3588,113.907,111.554,114.871,120.115,0.0,-1.0,26.946105349999947
84.7442,79.1591,79.4788,85.0993,-23.8394,-22.2035,-18.106,-18.4946,0.0,-1.0,26.793192370000014
82.6514,76.9976,77.2451,82.9406,-51.7807,-51.8597,-46.6027,-47.6829,0.5027067570651991,0.0004052747545566,26.676943920000014
82.6673,77.0851,77.3997,83.0553,-84.9313,-86.0477,-80.577,-80.9486,1.4893221319624257,0.0004804441171608,26.42803051000002
82.0957,76.4733,76.8654,82.4862,-92.8114,-92.2081,-88.8007,-86.9098,0.0,-1.0,25.913818259999996
-75.4429,-81.0593,-81.462,-75.8183,149.137,146.355,150.809,153.501,0.5987863075906527,0.0002363019247198,25.88772030000007
82.4473,76.8594,77.1642,82.821,-80.3566,-81.4011,-76.1061,-76.4809,0.0,-1.0,25.666844710000014
-75.7495,-81.2877,-81.8397,-76.2633,13.7231,9.8297,14.3935,17.6607,0.0,-1.0,25.530356979999976
83.6148,78.007,78.328,83.9719,4.7623,6.1842,10.2181,9.6774,0.5915599719523054,0.0023337695968348,25.50557559
-73.3715,-79.1556,-79.2348,-73.5153,-5.1856,-8.8252,-3.5497,-1.7213,0.0,-1.0,25.43963182000004
-76.0814,-81.7517,-81.9095,-76.2237,7.9733,5.9493,10.7046,12.0287,0.3999843252782581,0.0038434018075001,25.26498876999998
-73.6933,-79.5107,-79.4938,-73.768,-86.7873,-88.4222,-83.2892,-83.2078,0.0,-1.0,25.167333035000013
83.4421,77.8437,78.2077,83.8461,170.815,171.979,176.596,174.96,0.0,-1.0,25.151810400000016
-75.7825,-81.3247,-81.8652,-76.2909,4.8039,1.3223,5.4722,9.0386,0.0,-1.0,25.150013275000017
-73.3653,-79.1682,-79.1941,-73.4677,-59.37,-61.889,-56.7315,-55.9744,0.0,-1.0,24.75789486500001
-76.2653,-81.7703,-82.3652,-76.7911,-135.333,-141.076,-136.209,-132.261,0.0,-1.0,24.704419650000006
-75.8907,-81.5383,-81.5509,-76.4577,-160.45,-164.897,-162.117,-154.686,0.0,-1.0,24.663470999999966
-70.6725,-76.8401,-76.8418,-71.0466,71.6457,67.24,72.3404,74.5703,0.0,-1.0,24.623782120000044
77.0126,71.2877,71.0599,76.8369,-81.6771,-84.7877,-81.4141,-76.8038,0.0,-1.0,24.49260056500002
-75.3562,-80.9551,-81.3453,-75.7122,-23.8197,-26.7231,-22.3073,-19.9307,0.0,-1.0,24.304862399999973
83.5783,77.98,78.3002,83.93,-15.9357,-14.3289,-10.6786,-11.047,0.0,-1.0,24.300970695000004
82.6575,77.0355,77.3581,83.0175,19.7113,20.9351,24.932,24.2089,0.0,-1.0,24.289701560000005
-75.0313,-80.6635,-81.0793,-75.4452,89.4286,86.1763,89.612,94.028,0.4595540886297867,2.011719346769928e-05,24.22205891000001
82.2137,76.6121,76.9511,82.5617,-59.1467,-57.948,-54.825,-53.7128,0.0,-1.0,24.000274920000017
81.32,75.723,76.0719,81.7288,-116.447,-116.859,-112.06,-112.795,1.0095260133416828,0.0078903183234248,23.83786149999999
-70.9734,-76.9698,-77.0363,-71.2827,137.019,132.525,137.417,140.015,0.0,-1.0,23.837293399999925
80.7344,75.052,75.2374,80.9086,106.543,106.396,109.613,111.753,0.0,-1.0,23.71359549999998
80.8777,75.1851,75.3858,81.0903,134.736,135.641,139.06,139.617,0.0,-1.0,23.68493960000002
80.6665,74.9699,75.1749,80.8886,142.65,143.332,147.023,147.236,0.0,-1.0,23.660840749999974
