V0_LAT,V1_LAT,V2_LAT,V3_LAT,V0_LON,V1_LON,V2_LON,V3_LON,Al/Si,Al/Si_uncer,polygon_area
-78.8002,-84.3014,-83.6653,-78.2193,-47.1335,-44.5977,-40.8245,-43.998,0.0,-1.0,20.644784684999994
77.0486,71.2918,71.2971,77.0562,-151.704,-152.069,-148.567,-148.082,0.0,-1.0,20.507076649999988
-74.7363,-80.3123,-79.7088,-74.1589,-84.2544,-83.9319,-79.6196,-81.422,0.0,-1.0,20.500128034999975
79.6963,73.9996,74.0134,79.7178,14.7694,13.9689,17.8335,18.0784,0.0,-1.0,20.43750708499997
-76.3442,-81.9543,-81.6848,-76.0792,54.1362,52.8519,57.4457,56.8493,0.0,-1.0,20.396078944999992
-74.7249,-80.2968,-79.6928,-74.1467,-80.8639,-80.4852,-76.2327,-78.0644,0.0,-1.0,20.254317720000042
-74.1774,-79.6519,-80.2644,-74.7601,-28.5196,-31.8167,-28.5858,-25.1136,0.0,-1.0,20.238966269999963
-74.987,-80.4734,-81.0789,-75.5922,116.887,113.195,115.873,120.643,0.0,-1.0,20.211467200000072
76.8248,71.1219,70.7397,76.4251,-126.618,-128.95,-125.303,-123.599,0.0,-1.0,19.76753904999994
76.2017,70.4917,70.1242,75.8111,-144.196,-146.063,-142.589,-140.99,0.0,-1.0,19.689716649999937
-72.8512,-78.3254,-78.9993,-73.5062,146.178,142.753,146.076,149.222,0.0,-1.0,19.640250250000058
73.4829,67.7209,67.5775,73.4334,6.3027,5.2302,8.0726,10.1678,0.0,-1.0,19.634528395000004
86.9343,80.8679,81.4134,86.255,174.759,165.451,173.198,174.055,0.0,-1.0,19.54628025000009
-75.3391,-80.964,-80.2699,-74.7796,66.9585,68.9844,71.865,70.6865,0.0,-1.0,19.36823663999998
76.7424,71.0001,70.9869,76.7244,-162.272,-162.346,-159.429,-158.494,0.0,-1.0,19.222185449999976
-71.62,-77.3444,-77.3629,-71.6333,-164.322,-165.314,-161.501,-161.433,0.0,-1.0,19.19960399999996
