V0_LAT,V1_LAT,V2_LAT,V3_LAT,V0_LON,V1_LON,V2_LON,V3_LON,Mg/Si,Mg/Si_uncer,polygon_area
81.9125,76.3481,75.8452,81.3723,-156.677,-160.123,-155.979,-152.409,1.167984573434351,0.0016782579711495,25.155021899999895
82.3798,76.7271,77.227,82.6534,110.289,100.301,106.916,113.92,0.0,-1.0,25.09328664999996
80.9602,75.3092,74.8636,80.4507,62.8878,59.9949,63.2078,67.8639,0.0,-1.0,24.809712699999977
86.5609,81.1245,81.6646,87.1522,135.12,138.979,143.094,139.234,0.0,-1.0,24.65671814999994
-77.8296,-83.4871,-83.1764,-77.5501,2.1679,2.5987,7.1657,6.1151,0.0,-1.0,24.236713059999996
-72.2268,-77.0642,-77.179,-71.7552,168.916,167.747,172.805,173.351,0.3209881212725364,0.000616409384587,24.199414899999997
-79.2906,-84.8019,-84.205,-78.7397,-54.746,-53.3736,-48.3372,-51.4693,0.0,-1.0,24.10495964000003
79.9069,74.2183,73.8397,79.5165,-118.83,-122.118,-117.591,-115.278,1.9712533620910595,0.0008180959900684,24.032058899999974
-77.6815,-83.2476,-82.7388,-77.1981,-141.446,-141.093,-135.871,-138.275,0.0,-1.0,23.988716949999947
82.7577,77.2543,76.6967,82.1823,125.421,120.552,124.844,128.809,0.0,-1.0,23.601110499999912
82.8955,77.3837,76.8335,82.3315,119.197,113.914,118.407,122.317,0.9318137032137056,0.0007046296479555,23.515111999999952
80.9286,75.3516,74.8418,80.3842,-163.561,-166.859,-162.888,-159.717,0.0,-1.0,23.42943269999998
-74.8903,-80.3907,-81.0837,-75.5782,97.6021,93.1951,96.1975,101.85,0.3024765099093968,0.0004952335188119,23.421810080000007
78.3397,72.6425,72.4758,78.2223,-49.0337,-51.6616,-48.485,-44.2151,0.0,-1.0,23.363583804999962
82.4756,76.9818,76.4213,81.8937,131.695,127.364,131.36,135.281,0.0,-1.0,23.14320330000005
79.803,74.1238,73.8021,79.4545,8.4776,6.4472,10.2806,12.4795,0.0,-1.0,22.905240584999994
-78.0717,-83.6955,-83.3433,-77.7532,-146.254,-144.705,-141.159,-141.805,1.0227902353833809,0.0003645319453609,22.781829249999973
-75.4033,-80.9793,-80.3965,-74.7967,-103.46,-103.477,-98.6971,-100.412,0.8051590998209789,0.0001081732820893,22.37563176999994
-77.6916,-83.2039,-82.576,-77.1265,49.0626,51.8083,54.9428,53.6057,0.0,-1.0,22.257774020000006
81.8921,76.2621,75.7324,81.2209,-110.562,-114.826,-112.102,-106.403,1.0,0.6795895402183397,22.123300549999954
-78.9015,-84.4653,-83.9228,-78.4101,-159.594,-157.088,-153.356,-155.801,0.0,-1.0,22.11737535000001
-79.0081,-84.5149,-83.898,-78.4423,-50.8738,-48.8503,-44.5436,-47.685,0.2640621239936833,0.0246127304253941,22.069486494999982
-77.8862,-83.5157,-83.2204,-77.6154,27.8067,27.9798,32.3926,31.1075,0.0,-1.0,21.870981555000007
80.1452,74.5737,74.0649,79.5993,21.4905,18.7404,22.1387,25.3294,1.0,3.054615274507778,21.660345310000018
81.4449,75.9342,76.6151,81.8064,82.3887,73.1702,79.4356,85.7058,0.5468683794606218,0.000649627153512,21.601623530000033
-77.1093,-82.7121,-82.3127,-76.7536,-128.812,-127.488,-124.284,-124.371,0.781761456269512,0.0001409349087202,21.59954290000003
82.982,77.512,78.0301,83.5229,-57.9987,-55.4263,-52.699,-53.1672,0.0,-1.0,21.52140201000001
-74.9203,-80.491,-79.8979,-74.3193,-95.5612,-95.4089,-90.9134,-92.6349,0.0,-1.0,21.24634483000003
78.1983,72.5121,72.159,77.8147,24.8819,23.0099,26.5089,28.5832,0.0,-1.0,21.143080445
81.456,75.7831,76.307,81.6199,159.53,153.488,158.845,162.471,0.0,-1.0,21.12762950000001
81.6403,76.1959,76.8548,82.0132,86.784,77.7483,83.9074,90.0514,0.0,-1.0,21.07121993499996
-74.8966,-80.4775,-79.8776,-74.3222,-88.9156,-88.7554,-84.2909,-86.0111,0.0,-1.0,21.06788710500002
82.6849,77.2112,77.7323,83.2237,-64.4231,-62.3441,-59.6596,-59.6259,0.0,-1.0,21.05135053499999
77.9257,72.2969,71.7851,77.379,150.79,148.321,151.783,154.313,0.0,-1.0,20.920500249999982
-75.2793,-80.7665,-81.3772,-75.8858,122.79,119.192,121.943,126.673,0.4181996571674908,0.0001223171379077,20.742218499999993
-74.8182,-80.3925,-79.789,-74.2406,-83.1542,-82.8252,-78.4955,-80.3172,0.0,-1.0,20.563311464999966
-75.5973,-80.6505,-81.1164,-75.5794,15.4144,11.8289,15.2216,19.3832,0.0,-1.0,20.357614524999974
-77.474,-83.0244,-82.4446,-76.9416,32.0909,34.6189,37.863,35.7428,1.0865577635822885,5.942026560650044e-05,20.34849361000003
-74.987,-80.4734,-81.0789,-75.5922,116.887,113.195,115.873,120.643,0.6336759304591097,0.0007844127562941,20.211467200000072
-78.0391,-83.6132,-83.138,-77.6028,172.296,174.161,177.713,175.665,0.0,-1.0,20.113541199999993
83.1363,77.668,78.1839,83.6811,-52.3734,-49.7488,-47.0299,-48.1312,0.9491875518424846,0.0008824269825529,20.071001044999996
-78.0327,-84.048,-83.6406,-78.3449,44.6091,40.6443,44.0333,48.3782,0.0,-1.0,20.043546414999994
77.7743,71.8711,71.3653,77.2351,175.079,172.707,175.832,178.308,1.1351318151355223,0.0015714409682357,19.967950499999937
-74.8866,-80.4627,-79.9264,-74.2939,-120.55,-120.206,-116.055,-117.811,0.4279415600921005,8.060001040905652e-05,19.89953849999997
84.0757,78.6098,79.1227,84.6413,-3.2606,-0.684,2.7823,-0.0097,0.8073842970558157,0.0002482232004275,19.893779624999986
